,period,stateid,stateDescription,sectorid,sectorName,customers,sales,customers-units,sales-units
246,2004-01,NJ,New Jersey,RES,residential,,2624.46139,number of customers,million kilowatt hours
247,2003-12,NJ,New Jersey,RES,residential,,2342.44733,number of customers,million kilowatt hours
248,2003-11,NJ,New Jersey,RES,residential,,1850.69577,number of customers,million kilowatt hours
249,2003-10,NJ,New Jersey,RES,residential,,1805.52791,number of customers,million kilowatt hours
250,2003-09,NJ,New Jersey,RES,residential,,2332.45345,number of customers,million kilowatt hours
251,2003-08,NJ,New Jersey,RES,residential,,3305.90526,number of customers,million kilowatt hours
252,2003-07,NJ,New Jersey,RES,residential,,3224.13103,number of customers,million kilowatt hours
253,2003-06,NJ,New Jersey,RES,residential,,2171.12537,number of customers,million kilowatt hours
254,2003-05,NJ,New Jersey,RES,residential,,1709.04103,number of customers,million kilowatt hours
255,2003-04,NJ,New Jersey,RES,residential,,1782.16357,number of customers,million kilowatt hours
256,2003-03,NJ,New Jersey,RES,residential,,2165.98179,number of customers,million kilowatt hours
257,2003-02,NJ,New Jersey,RES,residential,,2112.58173,number of customers,million kilowatt hours
258,2003-01,NJ,New Jersey,RES,residential,,2565.07177,number of customers,million kilowatt hours
259,2002-12,NJ,New Jersey,RES,residential,,2613.3871,number of customers,million kilowatt hours
260,2002-11,NJ,New Jersey,RES,residential,,1855.73927,number of customers,million kilowatt hours
261,2002-10,NJ,New Jersey,RES,residential,,1876.35386,number of customers,million kilowatt hours
262,2002-09,NJ,New Jersey,RES,residential,,2524.78426,number of customers,million kilowatt hours
263,2002-08,NJ,New Jersey,RES,residential,,3224.16962,number of customers,million kilowatt hours
264,2002-07,NJ,New Jersey,RES,residential,,3253.7731,number of customers,million kilowatt hours
265,2002-06,NJ,New Jersey,RES,residential,,2330.52161,number of customers,million kilowatt hours
266,2002-05,NJ,New Jersey,RES,residential,,1736.82733,number of customers,million kilowatt hours
267,2002-04,NJ,New Jersey,RES,residential,,1804.94548,number of customers,million kilowatt hours
268,2002-03,NJ,New Jersey,RES,residential,,1906.7844,number of customers,million kilowatt hours
269,2002-02,NJ,New Jersey,RES,residential,,1836.2379,number of customers,million kilowatt hours
270,2002-01,NJ,New Jersey,RES,residential,,2207.85008,number of customers,million kilowatt hours
271,2001-12,NJ,New Jersey,RES,residential,,1961.87203,number of customers,million kilowatt hours
